Column1	Column2	Column3	Column4	Column5	Column6
SpeciesFile ContamW 2.0					
					
1/1	!start-of-file date				
31-Dec	!end-of-file date				
4					
PM2.5					
NO2					
SO2					
CO					
					
					
!Date	Time	PM2.5	NO2	SO2	CO
8/21	24:00:00	2.99797E-19	4.701E-09	3.40532E-10	3.40532E-07
8/22	24:00:00	4.27408E-19	4.2608E-09	2.99003E-10	2.99003E-07
8/23	24:00:00	2.68948E-19	2.70349E-08	1.3289E-09	1.3289E-06
8/24	24:00:00	3.8922E-19	0.000000005	4.56811E-10	4.56811E-07
8/25	24:00:00	6.97714E-19	5.05814E-09	6.06312E-10	6.06312E-07
8/26	24:00:00	6.08971E-19	4.94186E-09	8.3887E-10	8.3887E-07
8/27	24:00:00	3.84463E-19	5.7309E-09	1.21262E-09	1.21262E-06
8/28	24:00:00	3.39616E-19	4.76744E-09	5.39867E-10	5.39867E-07
8/29	24:00:00	4.48608E-19	4.68439E-09	2.99003E-10	2.99003E-07
8/30	24:00:00	3.94656E-19	7.06811E-09	1.10465E-09	1.10465E-06
8/31	24:00:00	4.50103E-19	5.27409E-09	3.48837E-10	3.48837E-07
9/1	24:00:00	5.24577E-19	4.89203E-09	6.72757E-10	6.72757E-07
9/2	24:00:00	4.53093E-19	4.18605E-09	6.81063E-10	6.81063E-07
9/3	24:00:00	5.01881E-19	4.2608E-09	7.89037E-10	7.89037E-07
9/4	24:00:00	4.52821E-19	6.38704E-09	7.30897E-10	7.30897E-07
9/5	24:00:00	5.19413E-19	5.7392E-09	2.0598E-09	2.0598E-06
9/6	24:00:00	6.47975E-19	6.3289E-09	8.22259E-10	8.22259E-07
9/7	24:00:00	6.52595E-19	3.06478E-09	1.13787E-09	1.13787E-06
9/8	24:00:00	1.13994E-18	1.63621E-09	1.70266E-09	1.70266E-06
9/9	24:00:00	1.4453E-18	1.62791E-09	1.55316E-09	1.55316E-06
9/10	24:00:00	1.2053E-18	1.44518E-09	1.39535E-09	1.39535E-06
9/11	24:00:00	1.01993E-18	2.72425E-09	1.84385E-09	1.84385E-06
9/12	24:00:00	1.19824E-18	4.49336E-09	1.34551E-09	1.34551E-06
9/13	24:00:00	8.14725E-19	4.46013E-09	1.19601E-09	1.19601E-06
9/14	24:00:00	9.88542E-19	4.60133E-09	1.19601E-09	1.19601E-06
9/15	24:00:00	1.01695E-18	4.57641E-09	7.47508E-10	7.47508E-07
9/16	24:00:00	7.37669E-19	4.63455E-09	1.24585E-09	1.24585E-06
9/17	24:00:00	7.9434E-19	4.78405E-09	5.81395E-10	5.81395E-07
9/18	24:00:00	9.83785E-19	4.5598E-09	8.72093E-10	8.72093E-07
9/19	24:00:00	1.15611E-18	4.50997E-09	9.46844E-10	9.46844E-07
9/20	24:00:00	9.35677E-19	4.4186E-09	1.50332E-09	1.50332E-06
9/21	24:00:00	4.71304E-19	4.36877E-09	4.40199E-10	4.40199E-07
9/22	24:00:00	3.94248E-19	4.36047E-09	5.48173E-10	5.48173E-07
9/23	24:00:00	5.11938E-19	4.42691E-09	1.69435E-09	1.69435E-06
9/24	24:00:00	9.02381E-19	4.63455E-09	8.05648E-10	8.05648E-07
9/25	24:00:00	9.71554E-19	4.50166E-09	8.22259E-10	8.22259E-07
9/26	24:00:00	8.23015E-19	4.42691E-09	9.21927E-10	9.21927E-07
9/27	24:00:00	1.37137E-18	4.4186E-09	1.04651E-09	1.04651E-06
9/28	24:00:00	1.23575E-18	4.46013E-09	9.71761E-10	9.71761E-07
9/29	24:00:00	1.3518E-18	4.72591E-09	9.30233E-10	9.30233E-07
9/30	24:00:00	1.08163E-18	4.54319E-09	1.12957E-09	1.12957E-06
10/1	24:00:00	1.04861E-18	4.46013E-09	8.55482E-10	8.55482E-07
10/2	24:00:00	8.45031E-19	4.44352E-09	1.34551E-09	1.34551E-06
10/3	24:00:00	6.03263E-19	4.39369E-09	9.38538E-10	9.38538E-07
10/4	24:00:00	8.84578E-19	4.4103E-09	1.56977E-09	1.56977E-06
10/5	24:00:00	8.78734E-19	4.39369E-09	9.46844E-10	9.46844E-07
10/6	24:00:00	6.70942E-19	4.46013E-09	1.52824E-09	1.52824E-06
10/7	24:00:00	1.31226E-18	4.34385E-09	1.0299E-09	1.0299E-06
10/8	24:00:00	1.65147E-18	4.24419E-09	1.1711E-09	1.1711E-06
10/9	24:00:00	1.13966E-18	4.19435E-09	1.02159E-09	1.02159E-06
10/10	24:00:00	9.24669E-19	4.18605E-09	9.46844E-10	9.46844E-07
10/11	24:00:00	6.31531E-19	4.14452E-09	1.27076E-09	1.27076E-06
10/12	24:00:00	7.99912E-19	4.1113E-09	8.30565E-10	8.30565E-07
10/13	24:00:00	2.12399E-18	4.13621E-09	1.06312E-09	1.06312E-06
10/14	24:00:00	2.52789E-18	4.22757E-09	1.60299E-09	1.60299E-06
10/15	24:00:00	1.54506E-18	4.21096E-09	9.71761E-10	9.71761E-07
10/16	24:00:00	1.8545E-18	1.75748E-08	1.51993E-09	1.51993E-06
10/17	24:00:00	2.30488E-18	3.44435E-08	1.1711E-09	1.1711E-06
10/18	24:00:00	2.09043E-18	2.87874E-08	1.07973E-09	1.07973E-06
10/19	24:00:00	2.36182E-18	2.58887E-08	1.44518E-09	1.44518E-06
10/20	24:00:00	2.60005E-18	2.34053E-08	2.34219E-09	2.34219E-06
10/21	24:00:00	2.29604E-18	1.97508E-08	1.23754E-09	1.23754E-06
10/22	24:00:00	2.3254E-18	1.93605E-08	2.00166E-09	2.00166E-06
10/23	24:00:00	2.29618E-18	1.82475E-08	1.69435E-09	1.69435E-06
10/24	24:00:00	2.00168E-18	1.81395E-08	2.36711E-09	2.36711E-06
10/25	24:00:00	2.71231E-18	1.81395E-08	2.23422E-09	2.23422E-06
10/26	24:00:00	2.03375E-18	1.41113E-08	1.1794E-09	1.1794E-06
10/27	24:00:00	2.25296E-18	1.59551E-08	2.02658E-09	2.02658E-06
10/28	24:00:00	2.19874E-18	1.21595E-08	1.87708E-09	1.87708E-06
10/29	24:00:00	2.84617E-18	7.63289E-09	1.98505E-09	1.98505E-06
10/30	24:00:00	2.86112E-18	6.16279E-09	1.90199E-09	1.90199E-06
