Column1	Column2	Column3	Column4	Column5	Column6	Column7
SpeciesFile ContamW 2.0						
						
1/1	!start-of-file date					
1/30	!end-of-file date					
5						
PM2.5						
PM10						
NO2						
SO2						
CO						
						
!Date	Time	PM2.5	PM10	NO2	SO2	CO
12/7	24:00:00	2.40286E-18	0	0	2.21761E-09	0
12/8	24:00:00	2.28232E-18	0	0	2.73256E-09	0
12/9	24:00:00	1.74755E-18	0	0	2.01827E-09	0
12/10	24:00:00	1.18859E-18	0	0	2.01827E-09	0
12/11	24:00:00	1.37776E-18	0	0	2.23422E-09	0
12/12	24:00:00	7.61995E-19	0	0	1.6196E-09	0
12/13	24:00:00	5.37351E-19	0	0	1.57807E-09	0
12/14	24:00:00	7.32777E-19	0	0	1.84385E-09	0
12/15	24:00:00	6.69039E-19	0	0	1.83555E-09	0
12/16	24:00:00	7.02879E-19	0	0	1.90199E-09	0
12/17	24:00:00	9.72234E-19	0	0	1.99336E-09	0
12/18	24:00:00	1.04073E-18	0	0	2.15116E-09	0
12/19	24:00:00	1.12118E-18	0	0	2.15947E-09	0
12/20	24:00:00	1.68068E-18	0	0	2.71595E-09	0
12/21	24:00:00	2.56866E-18	0	0	3.07309E-09	0
12/22	24:00:00	2.52979E-18	0	0	2.57475E-09	0
12/23	24:00:00	1.93129E-18	0	0	2.01827E-09	0
12/24	24:00:00	1.56E-18	0	0	1.56146E-09	0
12/25	24:00:00	1.44014E-18	0	0	2.09302E-09	0
12/26	24:00:00	1.5687E-18	0	0	8.05648E-10	0
12/27	24:00:00	9.98599E-19	0	0	6.72757E-10	0
12/28	24:00:00	1.21156E-18	0	0	8.3887E-10	0
12/29	24:00:00	9.87319E-19	0	0	1.37043E-09	0
12/30	24:00:00	1.30356E-18	0	0	1.3289E-09	0
12/31	24:00:00	0	0	0	0	0
